timestamp,pageID,status
1,11,MISS
2,33,MISS
3,44,MISS
4,6,MISS
5,31,MISS
6,7,MISS
7,29,MISS
8,6,HIT
9,9,MISS
10,21,MISS
11,44,HIT
12,12,MISS
13,34,MISS
14,24,MISS
15,11,HIT
16,17,MISS
17,34,HIT
18,43,MISS
19,44,HIT
20,33,HIT
21,2,MISS
22,28,MISS
23,2,HIT
24,7,HIT
25,34,HIT
26,33,HIT
27,29,HIT
28,26,MISS
29,16,MISS
30,22,MISS
31,31,HIT
32,25,MISS
33,27,MISS
34,47,MISS
35,44,HIT
36,24,HIT
37,44,HIT
38,26,HIT
39,9,HIT
40,47,HIT
41,9,HIT
42,49,MISS
43,9,HIT
44,10,MISS
45,11,HIT
46,12,HIT
47,29,HIT
48,38,MISS
49,2,HIT
50,23,MISS
51,27,HIT
52,40,MISS
53,34,HIT
54,42,MISS
55,29,HIT
56,20,MISS
57,11,HIT
58,41,MISS
59,27,HIT
60,46,MISS
61,31,HIT
62,22,HIT
63,11,HIT
64,43,HIT
65,11,HIT
66,24,HIT
67,44,HIT
68,47,HIT
69,29,HIT
70,3,MISS
71,27,HIT
72,46,HIT
73,34,HIT
74,15,MISS
75,39,MISS
76,30,MISS
77,2,HIT
78,30,HIT
79,44,HIT
80,45,MISS
81,27,HIT
82,45,HIT
83,2,HIT
84,17,HIT
85,27,HIT
86,30,HIT
87,29,HIT
88,20,HIT
89,31,HIT
90,5,MISS
91,39,HIT
92,41,HIT
93,2,HIT
94,20,HIT
95,9,HIT
96,7,HIT
97,31,HIT
98,49,HIT
99,44,HIT
100,43,HIT
101,27,HIT
102,7,HIT
103,16,HIT
104,45,HIT
105,31,HIT
106,43,HIT
107,29,HIT
108,50,MISS
109,11,HIT
110,41,HIT
111,27,HIT
112,17,HIT
113,29,HIT
114,49,HIT
115,27,HIT
116,20,HIT
117,39,HIT
118,30,HIT
119,29,HIT
120,30,HIT
121,29,HIT
122,38,HIT
123,34,HIT
124,47,HIT
125,44,HIT
126,10,HIT
127,31,HIT
128,7,HIT
129,31,HIT
130,13,MISS
131,27,HIT
132,42,HIT
133,39,HIT
134,47,HIT
135,16,HIT
136,40,HIT
137,9,HIT
138,17,HIT
139,44,HIT
140,22,HIT
141,2,HIT
142,22,HIT
143,29,HIT
144,38,HIT
145,39,HIT
146,6,HIT
147,44,HIT
148,30,HIT
149,27,HIT
150,19,MISS
151,39,HIT
152,32,MISS
153,27,HIT
154,50,HIT
155,16,HIT
156,49,HIT
157,39,HIT
158,14,MISS
159,44,HIT
160,26,HIT
161,31,HIT
162,21,HIT
163,29,HIT
164,47,HIT
165,44,HIT
166,5,HIT
167,44,HIT
168,38,HIT
169,9,HIT
170,48,MISS
171,39,HIT
172,43,HIT
173,11,HIT
174,18,MISS
175,11,HIT
176,50,HIT
177,39,HIT
178,13,HIT
179,31,HIT
180,35,MISS
181,11,HIT
182,45,HIT
183,31,HIT
184,37,MISS
185,39,HIT
