"Timestamp","PageID"
1,11
2,33
3,44
4,6
5,31
6,7
7,29
8,6
9,9
10,21
11,44
12,12
13,34
14,24
15,11
16,17
17,34
18,43
19,44
20,33
21,2
22,28
23,2
24,7
25,34
26,33
27,29
28,26
29,16
30,22
31,31
32,25
33,27
34,47
35,44
36,24
37,44
38,26
39,9
40,47
41,9
42,49
43,9
44,10
45,11
46,12
47,29
48,38
49,2
50,23
51,27
52,40
53,34
54,42
55,29
56,20
57,11
58,41
59,27
60,46
61,31
62,22
63,11
64,43
65,11
66,24
67,44
68,47
69,29
70,3
71,27
72,46
73,34
74,15
75,39
76,30
77,2
78,30
79,44
80,45
81,27
82,45
83,2
84,17
85,27
86,30
87,29
88,20
89,31
90,5
91,39
92,41
93,2
94,20
95,9
96,7
97,31
98,49
99,44
100,43
101,27
102,7
103,16
104,45
105,31
106,43
107,29
108,50
109,11
110,41
111,27
112,17
113,29
114,49
115,27
116,20
117,39
118,30
119,29
120,30
121,29
122,38
123,34
124,47
125,44
126,10
127,31
128,7
129,31
130,13
131,27
132,42
133,39
134,47
135,16
136,40
137,9
138,17
139,44
140,22
141,2
142,22
143,29
144,38
145,39
146,6
147,44
148,30
149,27
150,19
151,39
152,32
153,27
154,50
155,16
156,49
157,39
158,14
159,44
160,26
161,31
162,21
163,29
164,47
165,44
166,5
167,44
168,38
169,9
170,48
171,39
172,43
173,11
174,18
175,11
176,50
177,39
178,13
179,31
180,35
181,11
182,45
183,31
184,37
185,39
186,40
187,31
188,25
189,29
190,45
191,29
192,12
193,16
194,47
195,31
196,40
197,2
198,8
199,9
200,32
201,11
202,36
203,34
204,6
205,39
206,22
207,16
208,38
209,34
210,36
211,16
212,26
213,27
214,41
215,9
216,10
217,16
218,37
219,39
220,3
221,9
222,21
223,2
224,20
225,31
226,45
227,2
228,17
229,11
230,5
231,39
232,26
233,27
234,28
235,44
236,50
237,31
238,36
239,31
240,1
241,9
242,35
243,31
244,25
245,44
246,33
247,16
248,37
249,11
250,13
251,16
252,48
253,39
254,13
255,29
256,48
257,2
258,49
259,16
260,50
261,44
262,3
263,39
264,50
265,2
266,18
267,44
268,48
269,11
270,36
271,9
272,26
273,2
274,15
275,9
276,5
277,9
278,26
279,11
280,49
281,44
282,26
283,44
284,4
285,29
286,17
287,16
288,33
289,31
290,30
291,16
292,17
293,31
294,49
295,9
296,12
297,27
298,42
299,27
300,4
301,16
302,48
303,16
304,28
305,16
306,4
307,27
308,45
309,34
310,38
311,9
312,38
313,31
314,35
315,9
316,30
317,29
318,7
319,11
320,13
321,44
322,12
323,31
324,15
325,44
326,43
327,44
328,37
329,34
330,32
331,39
332,50
333,31
334,48
335,2
336,25
337,44
338,13
339,2
340,47
341,34
342,25
343,2
344,7
345,34
346,6
347,39
348,21
349,27
350,13
351,34
352,42
353,44
354,33
355,27
356,26
357,27
358,33
359,29
360,1
361,31
362,40
363,29
364,4
365,9
366,45
367,34
368,24
369,31
370,3
371,31
372,48
373,31
374,43
375,39
376,18
377,11
378,22
379,34
380,21
381,31
382,35
383,31
384,23
385,9
386,4
387,29
388,6
389,9
390,15
391,27
392,6
393,29
394,24
395,44
396,25
397,16
398,36
399,31
400,48
401,39
402,7
403,34
404,21
405,39
406,14
407,2
408,40
409,29
410,12
411,11
412,43
413,34
414,32
415,44
416,7
417,34
418,7
419,29
420,33
421,2
422,17
423,9
424,37
425,34
426,41
427,27
428,42
429,27
430,10
431,16
432,33
433,31
434,1
435,44
436,20
437,29
438,37
439,39
440,7
441,2
442,25
443,39
444,41
445,9
446,38
447,9
448,7
449,31
450,14
451,9
452,14
453,11
454,49
455,39
456,50
457,39
458,17
459,29
460,38
461,31
462,46
463,2
464,42
465,2
466,14
467,11
468,8
469,44
470,38
471,29
472,33
473,27
474,30
475,39
476,19
477,29
478,30
479,34
480,26
481,31
482,10
483,11
484,47
485,31
486,26
487,2
488,28
489,44
490,3
491,27
492,50
493,29
494,1
495,27
496,32
497,27
498,17
499,16
500,42
501,34
502,2
503,9
504,16
505,9
506,44
507,11
508,31
509,2
510,44
511,31
512,34
513,39
514,34
515,16
516,44
517,39
518,2
519,16
520,16
521,44
522,39
523,44
524,9
525,39
526,39
527,34
528,11
529,27
530,2
531,31
532,2
533,44
534,9
535,27
536,11
537,11
538,34
539,34
540,9
541,29
542,31
543,34
544,2
545,11
546,9
547,31
548,9
549,16
550,34
551,9
552,27
553,27
554,34
555,9
556,2
557,31
558,2
559,34
560,44
561,27
562,16
563,2
564,2
565,2
566,29
567,16
568,16
569,44
570,27
571,9
572,9
573,27
574,16
575,44
576,44
577,29
578,44
579,29
580,2
581,2
582,16
583,11
584,16
585,2
586,44
587,9
588,9
589,31
590,2
591,44
592,27
593,29
594,44
595,27
596,9
597,2
598,9
599,11
600,39
601,11
602,27
603,44
604,34
605,44
606,16
607,2
608,29
609,29
610,16
611,31
612,16
613,11
614,27
615,11
616,2
617,2
618,44
619,34
620,31
621,34
622,44
623,39
624,9
625,39
626,2
627,39
628,44
629,44
630,16
631,27
632,29
633,39
634,34
635,27
636,29
637,2
638,16
639,44
640,34
641,27
642,34
643,31
644,44
645,29
646,27
647,31
648,2
649,11
650,2
651,2
652,2
653,9
654,2
655,31
656,34
657,2
658,34
659,39
660,2
661,2
662,34
663,11
664,27
665,9
666,11
667,31
668,27
669,44
670,2
671,39
672,34
673,2
674,29
675,9
676,39
677,9
678,39
679,34
680,29
681,16
682,39
683,29
684,39
685,29
686,44
687,11
688,39
689,31
690,31
691,44
692,44
693,9
694,39
695,29
696,16
697,34
698,29
699,39
700,2
701,29
702,34
703,39
704,31
705,44
706,44
707,34
708,9
709,16
710,29
711,39
712,9
713,34
714,27
715,27
716,16
717,31
718,44
719,39
720,29
721,16
722,2
723,44
724,2
725,31
726,29
